Mid-point,Uncertainty,Time System,Source,#
2458984.690611107,0.000457405005266616,BJD_TDB,TESS,1
2458986.109664143,0.0004909614154905703,BJD_TDB,TESS,1
2458987.52957769,0.0004474429415778851,BJD_TDB,TESS,1
2458988.950879594,0.0004822416070928975,BJD_TDB,TESS,1
2458990.370642919,0.0005439998355749681,BJD_TDB,TESS,1
2458991.7895851126,0.0005300424668074489,BJD_TDB,TESS,1
2458993.2098575095,0.0005532120752736111,BJD_TDB,TESS,1
2458994.6308164815,0.0005272271849796254,BJD_TDB,TESS,1
2458997.4701954657,0.0006263397814931171,BJD_TDB,TESS,1
2458998.8899615407,0.00046804237109613695,BJD_TDB,TESS,1
2459000.309838157,0.0005627806398282832,BJD_TDB,TESS,1
2459001.730495756,0.0005044163287897792,BJD_TDB,TESS,1
2459003.150611594,0.00048339344034000804,BJD_TDB,TESS,1
2459004.570537197,0.0004308820190604871,BJD_TDB,TESS,1
2459005.991200722,0.0005433365028713747,BJD_TDB,TESS,1
2459007.4107782505,0.0005018695176839171,BJD_TDB,TESS,1
2459008.830529316,0.00045115884940824476,BJD_TDB,TESS,1
