Mid-point,Uncertainty,Time System,Source,#
2459282.764165636,0.0003798497141378279,BJD_TDB,TESS,1
2459283.553387547,0.0004562007491854692,BJD_TDB,TESS,1
2459284.342532905,0.0005260810188037601,BJD_TDB,TESS,1
2459285.130261697,0.00045262674633242297,BJD_TDB,TESS,1
2459285.9198078536,0.0004842543661562843,BJD_TDB,TESS,1
2459286.708576923,0.00042344590844072666,BJD_TDB,TESS,1
2459287.4971174076,0.0004700079631772761,BJD_TDB,TESS,1
2459288.285879107,0.00046882513379745497,BJD_TDB,TESS,1
2459289.0750026926,0.00042012753964682783,BJD_TDB,TESS,1
2459289.8635645695,0.00038953474047206574,BJD_TDB,TESS,1
2459290.652639866,0.0004974384709088328,BJD_TDB,TESS,1
2459291.4409667705,0.0004854722629335042,BJD_TDB,TESS,1
2459292.2300842823,0.00041405802145966903,BJD_TDB,TESS,1
2459296.1753878044,0.0004310307577796956,BJD_TDB,TESS,1
2459296.963069517,0.00047428130863001457,BJD_TDB,TESS,1
2459297.7514052643,0.0005114649315054256,BJD_TDB,TESS,1
2459298.540065224,0.0004490896186661236,BJD_TDB,TESS,1
2459299.329280097,0.0004108681466250816,BJD_TDB,TESS,1
2459300.1182914176,0.0004992137203939787,BJD_TDB,TESS,1
2459300.9076096704,0.0004933547210214074,BJD_TDB,TESS,1
2459301.6965352036,0.00041583141684712824,BJD_TDB,TESS,1
2459302.484526554,0.0004775471552579852,BJD_TDB,TESS,1
2459303.274512077,0.0004809965235643088,BJD_TDB,TESS,1
2459304.0635362486,0.0004313398068625573,BJD_TDB,TESS,1
2459304.851863579,0.0004498947888280427,BJD_TDB,TESS,1
2459305.639973859,0.0004668265829703669,BJD_TDB,TESS,1
