Mid-point,Uncertainty,Time System,Source,#
2459146.2079034946,0.00031928417931466384,BJD_TDB,TESS,1
2459148.163361835,0.0003429706324989209,BJD_TDB,TESS,1
2459150.118005106,0.0003262579739559475,BJD_TDB,TESS,1
2459152.0730621605,0.000349292481788084,BJD_TDB,TESS,1
2459154.028672681,0.0003302640953854917,BJD_TDB,TESS,1
2459159.8934474117,0.0003693897314642019,BJD_TDB,TESS,1
2459161.849600823,0.0003494551583218077,BJD_TDB,TESS,1
2459163.803945523,0.00033863174518339453,BJD_TDB,TESS,1
2459165.7587134037,0.0004021757766152506,BJD_TDB,TESS,1
2459167.715111187,0.000385056820391756,BJD_TDB,TESS,1
2459169.6683944,0.0003370331575468385,BJD_TDB,TESS,1
