Mid-point,Uncertainty,Time System,Source,#
2459202.1316134813,0.0002663481616453584,BJD_TDB,TESS,1
2459203.407129927,0.0002451949121531624,BJD_TDB,TESS,1
2459204.6818055226,0.00023382148369955924,BJD_TDB,TESS,1
2459205.9564584824,0.0002380261106708386,BJD_TDB,TESS,1
2459207.231999255,0.0002755211986012172,BJD_TDB,TESS,1
2459208.505987098,0.00031073812844381506,BJD_TDB,TESS,1
2459209.781621224,0.00023101752250134926,BJD_TDB,TESS,1
2459211.0561395762,0.00023884247065790595,BJD_TDB,TESS,1
2459212.331288188,0.00026907480884124415,BJD_TDB,TESS,1
2459213.6062444095,0.00033504259444666894,BJD_TDB,TESS,1
2459216.1564390366,0.0003626243085315339,BJD_TDB,TESS,1
2459217.4311078126,0.00022505389134231467,BJD_TDB,TESS,1
2459218.706027045,0.00024251171914741859,BJD_TDB,TESS,1
2459219.980713984,0.00025261256148350746,BJD_TDB,TESS,1
2459221.2561526103,0.0003349968020738497,BJD_TDB,TESS,1
2459222.5307576163,0.0002520028936913209,BJD_TDB,TESS,1
2459223.8056175206,0.0002460312090222589,BJD_TDB,TESS,1
2459225.080575303,0.00022760539353488336,BJD_TDB,TESS,1
2459226.355128609,0.00024283963223872184,BJD_TDB,TESS,1
