Mid-point,Uncertainty,Time System,Source,#
2458469.5902247718,0.0010604072480975238,BJD_TDB,TESS,1
2458471.1632757415,0.001221594544853968,BJD_TDB,TESS,1
2458472.736279442,0.0010787021992169261,BJD_TDB,TESS,1
2458474.309183227,0.0011923776146304757,BJD_TDB,TESS,1
2458475.8840238503,0.0011603509293335213,BJD_TDB,TESS,1
2458479.028902772,0.0012240982219241475,BJD_TDB,TESS,1
2458480.6038516895,0.0012835389832373191,BJD_TDB,TESS,1
2458482.175618424,0.0011971371371134701,BJD_TDB,TESS,1
2458483.7506747795,0.0011899568281879072,BJD_TDB,TESS,1
2458485.3244755445,0.0012138872217274796,BJD_TDB,TESS,1
2458486.896425265,0.0011313369028967278,BJD_TDB,TESS,1
2458488.4689825024,0.0013387516284814453,BJD_TDB,TESS,1
