Mid-point,Uncertainty,Time System,Source,#
2459392.086397885,0.0005653424781941238,BJD_TDB,TESS,1
2459394.8759369687,0.0005671359706659651,BJD_TDB,TESS,1
2459397.6645671753,0.000585719149575089,BJD_TDB,TESS,1
2459400.4522775365,0.0005425687770982668,BJD_TDB,TESS,1
2459403.240489829,0.000517133894213468,BJD_TDB,TESS,1
2459406.030063095,0.0005305803062238882,BJD_TDB,TESS,1
2459408.8186383564,0.0005990758508554094,BJD_TDB,TESS,1
2459411.606332832,0.0005970217481485801,BJD_TDB,TESS,1
2459414.395241875,0.0006310870493233299,BJD_TDB,TESS,1
2459417.182954306,0.00047385531776042,BJD_TDB,TESS,1
