Mid-point,Uncertainty,Time System,Source,#
2459230.180460372,0.0002339508658245338,BJD_TDB,TESS,1
2459231.454986322,0.00025242894425928,BJD_TDB,TESS,1
2459232.730172912,0.00023792594513781574,BJD_TDB,TESS,1
2459234.004896088,0.00022842635373517404,BJD_TDB,TESS,1
2459235.2799066645,0.00023535163892238352,BJD_TDB,TESS,1
2459236.5547472043,0.00026561365813948637,BJD_TDB,TESS,1
2459237.8298890046,0.0002688677328656539,BJD_TDB,TESS,1
2459239.104191575,0.00023545649104013148,BJD_TDB,TESS,1
2459240.379673646,0.00030515454959768325,BJD_TDB,TESS,1
2459242.9296537186,0.00028210611271873854,BJD_TDB,TESS,1
2459244.20416628,0.00023433649335443264,BJD_TDB,TESS,1
2459245.4787144708,0.0018584949437311354,BJD_TDB,TESS,1
2459246.7542403466,0.0002663594025409956,BJD_TDB,TESS,1
2459248.0289060376,0.00027330237811466377,BJD_TDB,TESS,1
2459249.304041074,0.00026687148655702054,BJD_TDB,TESS,1
2459250.5790064456,0.00025877973018748236,BJD_TDB,TESS,1
2459251.8540292974,0.0002878965541721665,BJD_TDB,TESS,1
2459253.129256818,0.00028900613971045687,BJD_TDB,TESS,1
