Mid-point,Uncertainty,Time System,Source,#
2459146.1007051338,0.0003027188832269712,BJD_TDB,TESS,1
2459148.3358988753,0.00031472535212172557,BJD_TDB,TESS,1
2459150.5722663444,0.00029637532887962095,BJD_TDB,TESS,1
2459152.8083286863,0.00025945193767286346,BJD_TDB,TESS,1
2459155.0445171576,0.0002908312658216153,BJD_TDB,TESS,1
2459159.516397698,0.0002505965467559983,BJD_TDB,TESS,1
2459161.751482715,0.00027911078139159943,BJD_TDB,TESS,1
2459163.9874675255,0.0003132934480976801,BJD_TDB,TESS,1
2459166.2237797473,0.0002870489115989278,BJD_TDB,TESS,1
2459168.4599247514,0.0002755527273377245,BJD_TDB,TESS,1
