Mid-point,Uncertainty,Time System,Source,#
2458683.8264447576,0.0006733245368969393,BJD_TDB,TESS,1
2458685.3656439055,0.0010124534727476908,BJD_TDB,TESS,1
2458686.9056363506,0.0008930738346315918,BJD_TDB,TESS,1
2458688.448561611,0.001559732621366019,BJD_TDB,TESS,1
2458689.989918018,0.0005922682245162227,BJD_TDB,TESS,1
2458691.529839357,0.001333442751285454,BJD_TDB,TESS,1
2458693.0716319005,0.001112853621495225,BJD_TDB,TESS,1
2458697.6916270345,0.000950488793723644,BJD_TDB,TESS,1
2458699.2347248173,0.0008155687906057503,BJD_TDB,TESS,1
2458700.7733104546,0.0010149983684376305,BJD_TDB,TESS,1
2458702.315130375,0.0006118052977269029,BJD_TDB,TESS,1
2458705.397477783,0.0010323283658614881,BJD_TDB,TESS,1
2458706.93948258,0.0012994122958075276,BJD_TDB,TESS,1
