Mid-point,Uncertainty,Time System,Source,#
2459231.10485931,0.0005171215765051785,BJD_TDB,TESS,1
2459233.416820616,0.0005217766066492407,BJD_TDB,TESS,1
2459235.7292208862,0.0005885305061815475,BJD_TDB,TESS,1
2459238.039806758,0.00045592797209457765,BJD_TDB,TESS,1
2459240.351233996,0.0005024693982781471,BJD_TDB,TESS,1
2459242.6627387875,0.0005403766659434714,BJD_TDB,TESS,1
2459244.9744253485,0.0004967709793641935,BJD_TDB,TESS,1
2459247.2859123447,0.0004979752178275517,BJD_TDB,TESS,1
2459249.597149041,0.0005521761855522143,BJD_TDB,TESS,1
2459251.9085091185,0.0005475887742740987,BJD_TDB,TESS,1
