Mid-point,Uncertainty,Time System,Source,#
2459117.139845728,0.001319640710004002,BJD_TDB,TESS,1
2459119.358118783,0.001176447697362711,BJD_TDB,TESS,1
2459121.575322756,0.001431705447287182,BJD_TDB,TESS,1
2459123.792516364,0.001280100285553342,BJD_TDB,TESS,1
2459126.0091813267,0.001338976150866214,BJD_TDB,TESS,1
2459132.6583953327,0.001318009995348513,BJD_TDB,TESS,1
2459134.874082906,0.0014917143218576303,BJD_TDB,TESS,1
2459137.0909350696,0.001202965026245948,BJD_TDB,TESS,1
2459139.309764604,0.0014492469639104638,BJD_TDB,TESS,1
