Mid-point,Uncertainty,Time System,Source,#
2459010.8767347187,0.001120606913729934,BJD_TDB,TESS,1
2459013.023389691,0.001106899834004534,BJD_TDB,TESS,1
2459015.1658361475,0.0009408278075940751,BJD_TDB,TESS,1
2459017.3072441965,0.0009443484805131228,BJD_TDB,TESS,1
2459019.4517424954,0.0008206442705422832,BJD_TDB,TESS,1
2459021.5973820267,0.0008330250846772119,BJD_TDB,TESS,1
2459023.739290813,0.0009665203420802325,BJD_TDB,TESS,1
2459025.8842080506,0.0008394457694240624,BJD_TDB,TESS,1
2459028.025583789,0.0009226033874421077,BJD_TDB,TESS,1
2459030.1709965356,0.0008626739995012825,BJD_TDB,TESS,1
2459032.315042733,0.0009664213543201546,BJD_TDB,TESS,1
2459034.4564452046,0.000905883171961569,BJD_TDB,TESS,1
