Mid-point,Uncertainty,Time System,Source,#
2458354.457767549,0.0001547960510163316,BJD_TDB,TESS,1
2458355.3990883697,0.00015735810152834616,BJD_TDB,TESS,1
2458356.3407258126,0.00034864401543111743,BJD_TDB,TESS,1
2458357.2822032175,0.0002473234817126188,BJD_TDB,TESS,1
2458358.223406871,0.00016405007806248736,BJD_TDB,TESS,1
2458359.165240916,0.0001716243215527562,BJD_TDB,TESS,1
2458360.1065971404,0.0001699058606093618,BJD_TDB,TESS,1
2458361.0481138974,0.00022224169285299655,BJD_TDB,TESS,1
2458361.989630955,0.00015387810262565508,BJD_TDB,TESS,1
2458362.931171377,0.00016976243163462277,BJD_TDB,TESS,1
2458363.8725554305,0.00021069753573790787,BJD_TDB,TESS,1
2458364.8137362036,0.00019137653419930566,BJD_TDB,TESS,1
2458365.755189503,0.00020625820236004402,BJD_TDB,TESS,1
2458366.697011467,0.00017465926275021996,BJD_TDB,TESS,1
2458369.521079649,0.00016072069761177357,BJD_TDB,TESS,1
2458370.4626397826,0.00016506875847852067,BJD_TDB,TESS,1
2458371.4041212243,0.00017412551739341437,BJD_TDB,TESS,1
2458372.3454210875,0.0001612458405612151,BJD_TDB,TESS,1
2458373.2873210385,0.0005982118921776782,BJD_TDB,TESS,1
2458374.2282860074,0.00017875977203267912,BJD_TDB,TESS,1
2458375.1698960327,0.0001631835637601867,BJD_TDB,TESS,1
2458376.111218779,0.00021753991613248256,BJD_TDB,TESS,1
2458377.0528294365,0.00015657194434510896,BJD_TDB,TESS,1
2458377.994277883,0.00017002082042859962,BJD_TDB,TESS,1
2458378.9358102498,0.0001469328220250712,BJD_TDB,TESS,1
2458379.877167856,0.0001533058856365912,BJD_TDB,TESS,1
2458380.8187748385,0.00020424982069042202,BJD_TDB,TESS,1
