Mid-point,Uncertainty,Time System,Source,#
2459010.963903302,0.00045274456507072723,BJD_TDB,TESS,1
2459012.269612977,0.00040228440973359263,BJD_TDB,TESS,1
2459013.57682334,0.00042576518786702525,BJD_TDB,TESS,1
2459014.8823288837,0.0005492019317049896,BJD_TDB,TESS,1
2459016.188137359,0.0005536383823062177,BJD_TDB,TESS,1
2459017.4943092978,0.00045240777670939883,BJD_TDB,TESS,1
2459018.8000418274,0.00046454859460271777,BJD_TDB,TESS,1
2459020.1077150875,0.00046679049729119907,BJD_TDB,TESS,1
2459021.4130965555,0.00043196302854589763,BJD_TDB,TESS,1
2459024.0249129245,0.00041212231521268235,BJD_TDB,TESS,1
2459025.33183798,0.00044673635712828705,BJD_TDB,TESS,1
2459026.6369440816,0.0004490148763899116,BJD_TDB,TESS,1
2459027.943511175,0.0004762344387649661,BJD_TDB,TESS,1
2459029.249856979,0.0004263876914265933,BJD_TDB,TESS,1
2459030.556174062,0.0004153374822277408,BJD_TDB,TESS,1
2459031.861888928,0.00046562017834442184,BJD_TDB,TESS,1
2459033.167867748,0.00047445946873076833,BJD_TDB,TESS,1
2459034.474533321,0.000508204293689811,BJD_TDB,TESS,1
