Mid-point,Uncertainty,Time System,Source,#
2459421.3904377916,0.00023451038503973952,BJD_TDB,TESS,1
2459423.6458648997,0.00019966085207180102,BJD_TDB,TESS,1
2459425.901021871,0.00027081343793231884,BJD_TDB,TESS,1
2459428.1562866652,0.0001822205047799069,BJD_TDB,TESS,1
2459430.4114958933,0.00018105196432895615,BJD_TDB,TESS,1
2459434.9219256425,0.00016256753307298472,BJD_TDB,TESS,1
2459437.17736885,0.00017737256653811668,BJD_TDB,TESS,1
2459439.432572595,0.0001639457084105732,BJD_TDB,TESS,1
2459441.687911389,0.00017182012160080784,BJD_TDB,TESS,1
2459443.9433240294,0.00023438381136727313,BJD_TDB,TESS,1
2459446.1985143237,0.00016899527262380877,BJD_TDB,TESS,1
