Mid-point,Uncertainty,Time System,Source,#
2459202.822399518,0.002584264466040388,BJD_TDB,TESS,1
2459205.117575541,0.0036047588867060155,BJD_TDB,TESS,1
2459207.4067276446,0.002041282424286897,BJD_TDB,TESS,1
2459209.697575733,0.002570962609709241,BJD_TDB,TESS,1
2459211.9910403783,0.002427510233085362,BJD_TDB,TESS,1
2459216.5773917963,0.0026707863260407483,BJD_TDB,TESS,1
2459218.86809814,0.0031325873145140242,BJD_TDB,TESS,1
2459221.1550639807,0.0024504074518637746,BJD_TDB,TESS,1
2459223.447870451,0.003044136428743369,BJD_TDB,TESS,1
2459225.744347039,0.002140441243839977,BJD_TDB,TESS,1
