Mid-point,Uncertainty,Time System,Source,#
2459283.0468244543,0.0006751609467275658,BJD_TDB,TESS,1
2459284.4004337294,0.0008877827486453091,BJD_TDB,TESS,1
2459285.756210674,0.0009860393042704807,BJD_TDB,TESS,1
2459287.110489068,0.0006858660276644668,BJD_TDB,TESS,1
2459288.465219499,0.0007986679747804748,BJD_TDB,TESS,1
2459289.8177803955,0.0007467812268066304,BJD_TDB,TESS,1
2459291.172709922,0.0010569852178779903,BJD_TDB,TESS,1
2459292.524982996,0.0008323432201022856,BJD_TDB,TESS,1
2459296.587897889,0.0006335551484255169,BJD_TDB,TESS,1
2459297.942104555,0.000768243659637809,BJD_TDB,TESS,1
2459299.2952555637,0.0006547063053617269,BJD_TDB,TESS,1
2459300.6514028795,0.0008071604125656444,BJD_TDB,TESS,1
2459302.0055313697,0.0006404593913905095,BJD_TDB,TESS,1
2459303.3593595168,0.0007328286172605591,BJD_TDB,TESS,1
2459304.7140042777,0.0007052803584551702,BJD_TDB,TESS,1
