Mid-point,Uncertainty,Time System,Source,#
2458843.2179466947,0.0007701098284648674,BJD_TDB,TESS,1
2458845.8345336914,0.0006377366905847144,BJD_TDB,TESS,1
2458848.4513249556,0.0008196823493545765,BJD_TDB,TESS,1
2458851.0664566676,0.0006875374256836328,BJD_TDB,TESS,1
2458853.68162073,0.0007976488351192873,BJD_TDB,TESS,1
2458858.9135065307,0.000684164743375525,BJD_TDB,TESS,1
2458861.5295457407,0.0006847632223973975,BJD_TDB,TESS,1
2458864.145262721,0.0006214437609771995,BJD_TDB,TESS,1
2458866.7613434396,0.000649569412491072,BJD_TDB,TESS,1
