System,N,Chi-square,sigma_0,Period (days),P error,T0 (BJD TDB),T0 error
WASP-161,8,1.3177386158645894,0.0,5.4053520344314165,5.984371467354238e-06,2458492.2854771847,0.0006976517204143729
XO-6,24,32.47270063258859,0.00024100287260964137,3.7649924688448664,1.4007825637052752e-06,2458113.530850008,0.00034883503694162216
