Mid-point,Uncertainty,Time System,Source,#
2458412.3447444444,0.0001563061509590811,BJD_TDB,TESS,1
2458413.7050714204,0.00016695181881969757,BJD_TDB,TESS,1
2458415.064860382,0.00015860746724913097,BJD_TDB,TESS,1
2458416.425040707,0.00018317069061843657,BJD_TDB,TESS,1
2458417.784702319,0.00015835956447596744,BJD_TDB,TESS,1
2458421.8650956755,0.00018602047257478346,BJD_TDB,TESS,1
2458425.9450417045,0.00015590827924895308,BJD_TDB,TESS,1
2458427.304955302,0.0004950816240349342,BJD_TDB,TESS,1
2458428.664775133,0.0001716620610001955,BJD_TDB,TESS,1
2458430.0249681673,0.00015880624298730757,BJD_TDB,TESS,1
2458431.3849438317,0.000188554852629932,BJD_TDB,TESS,1
2458432.7452166057,0.00016531321741473657,BJD_TDB,TESS,1
2458434.105209387,0.0001937468338941866,BJD_TDB,TESS,1
2458435.4653057912,0.0001677415393757824,BJD_TDB,TESS,1
