Mid-point,Uncertainty,Time System,Source,#
2458469.068210018,0.0012332670597574298,BJD_TDB,TESS,1
2458470.577169176,0.0013166678990479172,BJD_TDB,TESS,1
2458472.085653851,0.001423344450264736,BJD_TDB,TESS,1
2458473.593540998,0.0014722302793132261,BJD_TDB,TESS,1
2458475.104424535,0.0014377270808789728,BJD_TDB,TESS,1
2458476.6108386703,0.0013013768915495977,BJD_TDB,TESS,1
2458479.631228727,0.001992347976158658,BJD_TDB,TESS,1
2458481.138133319,0.0013733527254090054,BJD_TDB,TESS,1
2458482.647509938,0.001438522052726447,BJD_TDB,TESS,1
2458484.1602627086,0.0015350214562520584,BJD_TDB,TESS,1
2458485.6674561678,0.0014852688523673244,BJD_TDB,TESS,1
2458487.17534637,0.0017270153353235347,BJD_TDB,TESS,1
2458488.6852640733,0.0014446817111963047,BJD_TDB,TESS,1
