Mid-point,Uncertainty,Time System,Source,#
2458872.854868676,0.0003882179453626423,BJD_TDB,TESS,1
2458875.5574602326,0.0003589272286323143,BJD_TDB,TESS,1
2458878.261128504,0.0003551488271317191,BJD_TDB,TESS,1
2458880.9643828366,0.00036748718126052097,BJD_TDB,TESS,1
2458883.667496054,0.0004018812401638827,BJD_TDB,TESS,1
2458889.0743802353,0.0003883479311961309,BJD_TDB,TESS,1
2458891.7776031806,0.00035022865449405244,BJD_TDB,TESS,1
2458894.480685114,0.00034990002615898844,BJD_TDB,TESS,1
2458897.184309653,0.00037565739024861695,BJD_TDB,TESS,1
