Mid-point,Uncertainty,Time System,Source,#
2459062.7384456163,0.0002568518465169665,BJD_TDB,TESS,1
2459064.9225558853,0.0002860272837671656,BJD_TDB,TESS,1
2459067.107779489,0.0002652604402387396,BJD_TDB,TESS,1
2459069.292662937,0.0002892762450610683,BJD_TDB,TESS,1
2459071.4768114835,0.00028495943893428344,BJD_TDB,TESS,1
2459075.846597113,0.0003071626222413229,BJD_TDB,TESS,1
2459078.0311807077,0.00031437038544411344,BJD_TDB,TESS,1
2459080.2152233566,0.00028182501048256694,BJD_TDB,TESS,1
2459082.4002454886,0.00027088876109261374,BJD_TDB,TESS,1
2459084.584796581,0.00029940930126214044,BJD_TDB,TESS,1
