Mid-point,Uncertainty,Time System,Source,#
2459229.8393020486,0.0005545712306928753,BJD_TDB,TESS,1
2459232.338780841,0.0004993033504121247,BJD_TDB,TESS,1
2459234.8371755234,0.0005563510322973832,BJD_TDB,TESS,1
2459237.3388951966,0.0005578471237024398,BJD_TDB,TESS,1
2459239.8380952924,0.0005660307113830448,BJD_TDB,TESS,1
2459244.8384381845,0.0005656933404218474,BJD_TDB,TESS,1
2459247.3366356944,0.0007223915106409904,BJD_TDB,TESS,1
2459249.837592186,0.0006186832827768197,BJD_TDB,TESS,1
2459252.3363475916,0.0006855797568595125,BJD_TDB,TESS,1
